FD.arg,FD.vd,value,se,x,z_LDH
0,1,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,1,0.860068676700414,0.226629653130479,0.111111111111111,3.79504034366254
0.222222222222222,1,1.74555190569397,0.576084811283204,0.222222222222222,3.03002591199345
0.333333333333333,1,1.86529227625348,0.555576490722645,0.333333333333333,3.35739957935815
0.444444444444444,1,1.41892874903837,0.518342000690814,0.444444444444444,2.73743734281094
0.555555555555556,1,0.570885972685687,0.556107263336432,0.555555555555556,1.02657528560333
0.666666666666667,1,-0.730376377827173,1.21591256834443,0.666666666666667,-0.600681658239329
0.777777777777778,1,-2.63500171690021,2.83780474023985,0.777777777777778,-0.928535243999026
0.888888888888889,1,-5.19660316469847,5.36203102132997,0.888888888888889,-0.969148284302453
1,1,-8.40969027037241,8.7865570396741,1,-0.957108709634499
0,2,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,2,0.139583431417893,0.269842268692112,0.222222222222222,0.517277860486553
0.222222222222222,2,0.477902540772884,0.230402426033109,0.444444444444444,2.07420793696074
0.333333333333333,2,0.525146329389533,0.354706575704794,0.666666666666667,1.4805091457526
0.444444444444444,2,0.195567271824695,0.588612606223635,0.888888888888889,0.332251245992499
0.555555555555556,2,-0.38340022937744,0.982456061096251,1.11111111111111,-0.390246693526051
0.666666666666667,2,-1.13085084028912,1.4533196458925,1.33333333333333,-0.778115704611321
0.777777777777778,2,-2.08936134024284,2.04272167277273,1.55555555555556,-1.02283212054376
0.888888888888889,2,-3.32265909127031,2.79107753138218,1.77777777777778,-1.19045746809652
1,2,-4.85040530107628,3.84114417468228,2,-1.2627501287367
0,3,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,3,-0.0187530121803739,0.229312505291751,0.333333333333333,-0.0817792826279346
0.222222222222222,3,0.0811987215430934,0.226431461006862,0.666666666666667,0.3586017648874
0.333333333333333,3,0.0993701370786234,0.274689215193136,1,0.361754781703954
0.444444444444444,3,-0.135413928244917,0.401105318692335,1.33333333333333,-0.337601926312988
0.555555555555556,3,-0.58383047867602,0.704034918888109,1.66666666666667,-0.829263525164449
0.666666666666667,3,-1.16197483224321,1.13422452296511,2,-1.02446632806488
0.777777777777778,3,-1.86430351783212,1.66293954718463,2.33333333333333,-1.12108917067274
0.888888888888889,3,-2.72422853072459,2.28504161024777,2.66666666666667,-1.19220084155456
1,3,-3.75347025472874,3.10053703920791,3,-1.21058713612002
0,4,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,4,-0.0770711873355001,0.198519553756498,0.444444444444444,-0.388229702702409
0.222222222222222,4,-0.089654842809392,0.204251194091488,0.888888888888889,-0.438944032656347
0.333333333333333,4,-0.110432898004265,0.2556888321408,1.33333333333333,-0.431903486279185
0.444444444444444,4,-0.285019701127857,0.327236666481094,1.77777777777778,-0.870989501857439
0.555555555555556,4,-0.654991840152201,0.475706981199259,2.22222222222222,-1.37688086582409
0.666666666666667,4,-1.14970566537215,0.811178592561252,2.66666666666667,-1.41732742446028
0.777777777777778,4,-1.73847433393381,1.26209349368921,3.11111111111111,-1.37745289285353
0.888888888888889,4,-2.43451574350077,1.8078118041473,3.55555555555556,-1.34666436955205
1,4,-3.24436120087906,2.51740023895442,4,-1.28877448674057
0,5,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,5,-0.106587184348103,0.1834930819767,0.555555555555556,-0.580878489803979
0.222222222222222,5,-0.17872904243317,0.202561669046498,1.11111111111111,-0.88234384755263
0.333333333333333,5,-0.235991416863293,0.228152274786702,1.66666666666667,-1.0343592545107
0.444444444444444,5,-0.380881890482311,0.316261555067137,2.22222222222222,-1.20432561081114
0.555555555555556,5,-0.689773878231052,0.368177577465301,2.77777777777778,-1.87348149493449
0.666666666666667,5,-1.13233262418637,0.581147198821517,3.33333333333333,-1.94844374451529
0.777777777777778,5,-1.65805456615299,0.953756305998047,3.88888888888889,-1.73844676645984
0.888888888888889,5,-2.26432059175257,1.42821921899279,4.44444444444444,-1.58541529314346
1,5,-2.95451320919705,2.04002089252845,5,-1.44827595639727
0,6,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,6,-0.124468668181173,0.178232218184409,0.666666666666667,-0.698351114344495
0.222222222222222,6,-0.231359838793776,0.208415076130303,1.33333333333333,-1.11009166462184
0.333333333333333,6,-0.317909812166942,0.218878827349493,2,-1.4524466163158
0.444444444444444,6,-0.454577082468579,0.299910763137519,2.66666666666667,-1.51570779825644
0.555555555555556,6,-0.720060314535614,0.33750509378669,3.33333333333333,-2.13347984309448
0.666666666666667,6,-1.11816590245162,0.445259698456146,4,-2.51126680974867
0.777777777777778,6,-1.60223756388589,0.739408690188173,4.66666666666667,-2.16691741001601
0.888888888888889,6,-2.15250768037076,1.15008618489336,5.33333333333333,-1.87160554456216
1,6,-2.76848818779194,1.67606219834275,6,-1.65178129459
0,7,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,7,-0.136514383896426,0.177886246946605,0.777777777777778,-0.767425173332272
0.222222222222222,7,-0.265468462918786,0.216720638046441,1.55555555555556,-1.22493393020511
0.333333333333333,7,-0.374163385662609,0.226646973793302,2.33333333333333,-1.65086424671983
0.444444444444444,7,-0.513342459202529,0.286771836856145,3.11111111111111,-1.79007277991542
0.555555555555556,7,-0.751372702888824,0.326600170177559,3.88888888888889,-2.30058882847591
0.666666666666667,7,-1.11271744021684,0.383447396507261,4.66666666666667,-2.9018776769704
0.777777777777778,7,-1.56220178680243,0.608276346220877,5.44444444444444,-2.56824352370126
0.888888888888889,7,-2.0734937180938,0.959876853600101,6.22222222222222,-2.16016639042496
1,7,-2.63936343411608,1.41307603460513,7,-1.86781416532454
0,8,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,8,-0.145209720561866,0.179791605206419,0.888888888888889,-0.807655732286001
0.222222222222222,8,-0.289367664171515,0.226286520755732,1.77777777777778,-1.27876668572706
0.333333333333333,8,-0.414573949848515,0.241305299498605,2.66666666666667,-1.71804743082699
0.444444444444444,8,-0.55951648948651,0.28696281417696,3.55555555555556,-1.94978743532072
0.555555555555556,8,-0.78237224870933,0.323066821011278,4.44444444444444,-2.42170411142907
0.666666666666667,8,-1.11452378920665,0.363944692008621,5.33333333333333,-3.06234384970848
0.777777777777778,8,-1.53431726931953,0.542197557716612,6.22222222222222,-2.82981221048115
0.888888888888889,8,-2.01477729761556,0.842728674837177,7.11111111111111,-2.39077814458471
1,8,-2.54462450888273,1.23542594025844,8,-2.05971432682596
0,9,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,9,-0.151797581504634,0.182622228683118,1,-0.831210869559748
0.222222222222222,9,-0.307086490333381,0.236189977906147,2,-1.30016731893428
0.333333333333333,9,-0.444711852597198,0.257598492885082,3,-1.72637598774924
0.444444444444444,9,-0.595927153958449,0.297169846713673,4,-2.00534193003987
0.555555555555556,9,-0.810656670804916,0.329770166608316,5,-2.45824744895063
0.666666666666667,9,-1.12088341590972,0.36702508243971,6,-3.05396952289724
0.777777777777778,9,-1.51511990490612,0.517719323855626,7,-2.92652762817993
0.888888888888889,9,-1.96954589681138,0.779585430796097,8,-2.5264016219494
1,9,-2.47146863906066,1.12619653299045,9,-2.1945269468181
0,10,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,10,-0.156969988480223,0.18574065288051,1.11111111111111,-0.84510302965934
0.222222222222222,10,-0.320775747422365,0.245825102673243,2.22222222222222,-1.30489418669642
0.333333333333333,10,-0.467949673641272,0.273665146451462,3.33333333333333,-1.7099352245218
0.444444444444444,10,-0.625006129452935,0.312324237442143,4.44444444444444,-2.00114513869169
0.555555555555556,10,-0.835212443807566,0.34520128145625,5.55555555555556,-2.41949404209676
0.666666666666667,10,-1.12946046705369,0.383598785131816,6.66666666666667,-2.94437967697311
0.777777777777778,10,-1.50192452905025,0.517455311357138,7.77777777777778,-2.90252026810031
0.888888888888889,10,-1.9336981370343,0.751354394113653,8.88888888888889,-2.57361659449057
1,10,-2.41226544017639,1.06475757524552,10,-2.26555367743701
